ชื่อไทย,ชื่อสามัญ,ชื่อวิทยาศาสตร์,วงศ์ (Family),ถิ่นกำเนิด,รายละเอียด,อ้างอิง (Credit),ประเภท (Catalogy)
แพะสเตอร์ไบ,Sterba's corydoras,Corydoras sterbai,Callichthyidae,ประเทศโบลิเวีย และประเทศบราซิล,เป็นปลาน้ำจืดขนาดเล็ก โตเต็มที่ขนาดประมาณ 6-7 ซม. เป็นปลาที่เลี้ยงง่ายมีนิสัยน่ารัก นิยมเลี้ยงในตู้พรรณไม้น้ำ ไว้เก็บกินเศษอาหารหรือตะใคร่ ลักษณะลำตัวป้อมสั้นแบนข้างเล้กน้อย ปกคลุมด้วยเกล็ดขนาดเล็กซ้อนกัน มีลายพื้นสีลำตัวคล้ายงู โดยสีพื้นเป็นสีครีมอมเขียว มีลวดลายสีน้ำตาลกระจายทั่วลำตัวคล้ายเขาวงกต ปากอยู่ทางด้านใต้มี หนวดเล็ก ๆ 2 คู่ ก้านครีบ เดี่ยวก้านแรกของครีบอกมีเงี่ยงแข็ง ครีบทุกครีบมีครีมเช่นเดียวกับสีพื้นลำตัวมีแถบสีน้ำตาลคาดตามยาวหลายๆแถว,ภาพ: ศิริกัญญา เทพจันอัด ข้อมูล: นภัทร์ โสภณ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
พลวงชมพู,"Khela mahseer, Semah mahseer, River carp",Tor douronensis,Cyprinidae,จังหวัดยะลาและนราธิวาส,"ปลาพลวงชมพู เป็นปลาน้ำจืดประจำท้องถิ่นจังหวัดยะลา นราธิวาส มีชื่อเรียกตามภาษาท้องถิ่นภาคใต้ว่า ปลากือเลาะห์ หรือ อีแกกือเลาะห์ เป็นปลาที่มีเนื้อรสชาติดี สามารถรับประทานได้ทั้งเกล็ด ในปัจจุบันตลาดการเลี้ยงปลาสวยงามก็กำลังเป็นที่ต้องการอย่างสูง เนื่องจากเป็นปลาที่มีความโดดเด่นในสีของเกล็ดที่มีลักษณะเป็นสีชมพู บริเวณครีบหลังและครีบหางเป็นสีแดง ลักษณะทั่วไปมีรูปร่างคล้ายปลาเวียน (Tor tambroides) ซึ่งเป็นปลาในสกุลเดียวกัน แต่ลำตัวเพรียวและเป็นทรงกระบอกมากกว่า ส่วนหัวค่อนข้างมน ริมฝีปากหนา ปากกว้างเล็กน้อย ใต้คางมีติ่งเนื้อสั้น ๆ มีหนวด 2 คู่เห็นชัดเจน ตาอยู่ค่อนไปทางด้านบนหัว เกล็ดมีขนาดใหญ่ ครีบหลังมีก้านแข็ง 1 อัน ครีบหางเว้าลึก ครีบก้นสั้น ลำตัวด้านบนมีสีคล้ำอมน้ำตาล ด้านข้างลำตัวสีเงินเหลือบชมพูหรือทอง ครีบสีคล้ำ ด้านท้องสีขาว โดยลักษณะนิสัยและความเป็นอยู่ของปลาชนิดนี้ จะเป็นปลาที่ชอบอาศัยอยู่ในบริเวณแหล่งน้ำที่น้ำไหลผ่าน มีน้ำค่อนข้างเย็น มีปริมาณออกซิเจนสูง เช่น น้ำตก หรือบริเวณต้นแม่น้ำสายหลักในพื้นที่จังหวัดยะลาและนราธิวาส โดยเฉพาะแม่น้ำปัตตานี และป่าฮาลา –บาลา ด้วยเหตุนี้จึงทำให้
ปลาพลวงชมพูได้รับการประกาศให้เป็นปลาประจำจังหวัดยะลาเป็นที่เรียบร้อยแล้วเมื่อวันที่ 19 มกราคม 2558  


",ภาพและข้อมูล: ศูนย์วิจัยและพัฒนาประมงน้ำจืดยะลา,ปลาไทย
ปลากัดโรสเทล ปลากัดฮาร์ฟมูนหางกุหลาบ,Siamese fighting fish (Rosetail),Betta splendens ,Osphronemidae,เกิดจากการพัฒนาสายพันธุ์,เป็นปลากัดฮาร์ฟมูนที่เกิดจากการพัฒนาของ Halfmoon ที่ทำให้ปลามีลักษณะหางนั้นมีลักษณะเฉพาะ (การผ่าเหล่า) โดยครีบหาง มีลักษณะพิเศษคือ มีการทับซ้อนกันเหมือนกลีบดอกกุหลาบและมีราคาต่อตัวค่อนข้างสูงในต่างประเทศ ,ภาพ: Witoon Boonchoo ข้อมูล: อรุณี รอดลอย,ปลากัด
ปลากัดหางขนนก ,Siamese fighting fish (Feather-tailed/Apache),Betta splendens ,Osphronemidae,ได้จากการพัฒนาสายพันธุ์,เป็นปลากัดฮาร์ฟมูนที่เกิดจากการพัฒนาของ Halfmoon ที่ทำให้ปลามีลักษณะของหางปลานั้น มีลักษณะเฉพาะ (การผ่าเหล่า) โดยครีบหางมีลักษณะพิเศษคือคล้ายกับขนนก แตกเป็นแฉกๆอย่างสวยงาม ,ภาพ: Taebetta Piboonchai ข้อมูล: อรุณี รอดลอย,ปลากัด
ปลาเวียน ปลายาด,"Thai mahseer, Greater brook carp",Tor tambroides,Cyprinidae,จังหวัดเพชรบุรี  จังหวัดกาญจนบุรี จังหวัดแม่ฮ่องสอน และจังหวัดอื่นๆในแถบภาคกลางและภาคตะวันตกและภาคใต,"ปลาเวียน จัดเป็นปลาน้ำจืดของไทยที่หายากและใกล้สูญพันธุ์ มีขนาดโดยเฉลี่ยประมาณ 40-50 เซนติเมตร นอกจากจะเป็นปลาที่มีรสชาติอร่อย ปลาเวียน ยังจัดเป็นปลาสวยงามที่หายากและมีราคาแพง ปัจจุบัน พบว่า ปลาชนิดนี้มีจำนวนลดน้อยลงมาก สาเหตุเกิดจากหลายปัจจัย ไม่ว่าจะเป็นปัญหาสภาพแวดล้อมที่เสื่อมโทรมลง ไม่เอื้ออำนวยต่อการขยายพันธุ์ปลาเวียนในธรรมชาติ หรือการจับปลาเวียนขึ้นมาใช้ประโยชน์จำนวนมาก จนส่งผลให้ธรรมชาติไม่สามารถผลิตลูกพันธุ์ได้ทันต่อความต้องการ ลักษณะลำตัวจะมีสีฟ้าอมเขียว บริเวณส่วนหลังจะมีสีเขียวเข้ม หัวมีขนาดเล็กเมื่อเทียบกับลำตัว มีหนวดยาวอยู่ตรงบริเวณจะงอยปากและมุมปาก มีแผ่นปิดใต้คาง (medien lope)  ซึ่งในปลาพลวงจะไม่มี 
ปลาเวียนอาศัยอยู่ในบริเวณน้ำตกห้วย และแหล่งน้ำที่ใสสะอาด เช่น ในต้นแม่น้ำเพชรบุรีอ่างเก็บน้ำเขื่อนแก่งกระจาน จังหวัดเพชรบุรี แม่น้ำไทรโยกน้อย จังหวัดกาญจนบุรีแม่น้ำปาย จังหวัดแม่ฮ่องสอน อ่างเก็บน้ำเขื่อนรัชประภาจังหวัดสุราษฎร์ธานี ปกติปลาชนิดนี้ชอบอาศัยอยู่บริเวณต้นน้ำบนเทือกเขาเมื่อถึงฤดูฝนถึงจะอพยพย้ายถิ่นลงมาทางปากน้ำ ซึ่งหลังจากการสำรวจแล้วพบว่าจำนวนปลาเวียนในธรรมชาติลดน้อยลงจนใกล้สูญพันธุ์ กรมประมงโดยศูนย์วิจัยและพัฒนาประมงน้ำจืดเพชรบุรี จึงได้ดำเนินการศึกษาวิจัยเพาะขยายพันธุ์ปลาโดยเริ่มตั้งแต่การรวบรวมพ่อแม่พันธุ์ปลาเวียนจากธรรมชาติ วิธีการเพาะขยายพันธุ์การอนุบาลรวมถึงรูปแบบการเลี้ยงเพื่อเป็นแนวทางในการพัฒนาให้เป็นการเลี้ยงเชิงเศรษฐกิจ",ภาพและข้อมูล: ศูนย์วิจัยและพัฒนาประมงน้ำจืดเพชรบุรี,ปลาไทย
ปลากัดป่ามหาชัย,Mahachai betta,Betta mahachaiensis,Osphronemidae,"เขตจังหวัดสมุทรสาคร, สมุทรสงคราม, สมุทรปราการ และในเขตบางขุนเทียน ของกรุงเทพมหานคร ","มีลักษณะและรูปร่างคล้ายคลึงกับปลากัดภาคกลาง (B. splendens) มาก อีกทั้งยังมีที่อยู่อาศัยทับซ้อนกัน แต่มีความแตกต่างกันที่สีและรายละเอียดบางประการ เช่น สีของเกล็ดเป็นสีฟ้าอมเขียวหรือสีเขียวอย่างเดียวแวววาวทั้งตัว ลักษณะเกล็ดไล่เรียงตัวกันเหมือนฝักข้าวโพด บนพื้นลำตัวที่มีสีเข้มตั้งแต่น้ำตาลจนถึงดำสนิท บริเวณแก้มหรือแผ่นปิดเหงือกเป็นขีดสีฟ้า 2 ขีด ครีบอกคู่แรกที่เรียกว่า ""ตะเกียบ"" เส้นหน้ามีสีฟ้า ครีบหางมีทั้งกลมและปลายแหลมเหมือนใบโพมีสีฟ้า ขนาดเมื่อโตเต็มที่ประมาณ 4-5 เซนติเมตร อีกทั้งยังเป็นปลากัดในกลุ่มก่อหวอดเพียงชนิดเดียวที่พบในประเทศไทย ที่เยื่อใต้แผ่นปิดเหงือกเป็นสีดำสนิทโดยไม่มีขีดหรือแถบสีแดงมาแซมเหมือนปลากัดในกลุ่มก่อหวอดชนิดอื่น ๆ",ภาพ: เอก นครปฐม ข้อมูล: ธีรวัฒน์ อุทาพงษ์,ปลากัด
กระเบนแบล็คไดมอนด์ (สัตว์น้ำเสริมพลัง),Black diamond ray,"Potamotrygon leopoldi ""Black diamond""",Potamotrygonidae,อาศัยอยู่เฉพาะแม่น้ำซิงกู ซึ่งเป็นสาขาของแม่น้ำอเมซอน ในประเทศบราซิลเท่านั้นและมีสถานะใกล้สูญพันธุ์จ,"เป็นปลากระเบนที่มีจุดสีขาวมากกว่าปกติ ลำตัวรูปร่างทรงกลม พื้นลำตัวสีดำสนิท มีจุดกลมสีขาวกระจายไปทั่วลำตัวด้านบน ด้านล่างสีขาว ปลายหางมีริ้วหนังบาง ๆ ซึ่งจุดกลมเหล่านี้มีจำนวนและขนาดแตกต่างกันออกไปในปลาแต่ละตัวโดยมีจุดรอบขอบครีบถึง 3 แถว ลักษณะตัวโตเต็มที่มีขนาดประมาณ 60 เซนติเมตร และจะเป็นปลาที่มีลวดลายที่สวยงาม และเป็นเอกลักษณ์ ตรงโคนหางจะมีหนาม เรียกว่า ""เงี่ยง"" มีความแหลม ด้านข้างมีลักษณะเป็นหยักแบนคล้าย
ฟันเลื่อย และมักจะมีต่อมพิษที่โคนหาง

***ความเชื่อสายมูเตลู: ปลาที่มีท่าทางการว่ายน้ำพลิ้วไหวสง่างาม มีความเชื่อว่าเป็น “ปลาแห่งความโชคดี” ปัจจุบันถูกนิยมนำมาเลี้ยงเพื่อเสริมเรื่องโชคลาภ นำพาความโชคดี เงินทองมีใช้ไม่ขัดสน เสริมความร่ำรวยให้กับผู้ที่ได้ครอบครอง

",ภาพและข้อมูล: กรมประมง,ปลากระเบน
กระเบนเพิร์ลเรย์เผือก,Albino Pearl ray ,"Potamotrygon jabuti. ""Albino pearl""",Potamotrygonidae,ได้จากการพัฒนาสายพันธุ์,ลักษณะพื้นลำตัวสีเหลืองอ่อนหรือขาว มีลวดลายที่เป็นเอกลักษณ์ คือมีลายคล้ายโซ่สลับซับซ้อน สีเหลืองสวยงามตัดกับสีพื้นขาว เป็นปลาที่ค่อนข้างอ่อนแอและบอบบางเลี้ยงยากปรับตัวยากต้องการน้ำที่มีคุณภาพดี และปัจจุบันสามารถเพาะพันธุ์ได้ในประเทศไทยได้ส่วนหนึ่ง,ภาพและข้อมูล: กรมประมง,ปลากระเบน
ปลาการ์ตูน,,,,,,,ปลาทะเล
"ปลาการ์ตูนส้มขาว , ปลาการ์ตูนส้ม",clown anemonefish,Amphiprion ocellaris,Pomacentridae,"มีการกระจายพันธุ์ในแถบอินโด-แปซิฟิก, มหาสมุทรอินเดีย, หมู่เกาะอันดามันและนิโคบาร์, ทะเลฟิลิปปิน",บริเวณลำตัวมีสีส้มเข้ม มีแถบสีขาว 3 แถบ พาดบริเวณส่วนหัว ลำตัวและบริเวณหาง ได้รับความนิยมในการเลี้ยงเป็นปลาสวยงาม ในปัจจุบันสามารถเพาะขยายพันธุ์ ได้แล้วในสถานที่เลี้ยง,ภาพ: นภัทร์ โสภณ ข้อมูล: ศูนย์วิจัยและพัฒนาประมงชายฝั่งกระบี่ กพช.,ปลาทะเล
ปลาการ์ตูนอินเดียนแดงชมพู ,Pink Anemonefish,Amphiprion perideraion,Pomacentridae ,อาศัยอยู่ตามแนวปะการังทั่วไป ประเทศไทยพบได้เฉพาะในอ่าวไทย  ,ลำตัวตัวมีสีชมพูอมเหลือง มีแถบสีขาวพาดบริเวณโคนครีบหลังตามความยาวลำตัวตั้งแต่หัวจรดหาง และมีแถบสีขาวอีก 1 แถบพาดขวางลำตัวบริเวณหลังตา ขนาดโตเต็มที่ประมาณ 10 เซนติเมตร พบอยู่ตามแนวปะการังทั่วไป อาศัยอยู่กับดอกไม้ทะเลได้หลายชนิด,ภาพ Teresa Zubi ข้อมูล ศูนย์วิจัยและพัฒนาประมงชายฝั่งกระบี่,ปลาทะเล
ปลาการ์ตูนแดง หรือ ปลาการ์ตูนแก้มหนาม,Spinecheek anemonefish,Premnas biaculeatus, Pomacentridae ,พบได้ตามรอบนอกของแนวปะการัง และส่วนที่เป็นแนวปะการังลาดชันมักอาศัยอยู่กับดอกไม้ทะเลชนิด Entacmaea qu,ลำตัวตัวมีสีส้มแดง เมื่ออายุมากขึ้นสีจะแดงมากขึ้นจนเป็นสีแดงเข้มอมดำ ลำตัวมีแถบพาดขวางลำตัว 3 แถบ บริเวณหลังตา กลางลำตัว และโคนหาง ลักษณะเด่นของปลาชนิดนี้คือมีหนามแหลมบริเวณใต้ตา ขนาดโตเต็มที่ประมาณ 16 เซนติเมตร,ภาพ นภัทร์ โสภณ ข้อมูล ศูนย์วิจัยและพัฒนาประมงชายฝั่งกระบี่,ปลาทะเล
ปลาการ์ตูนมะเขือเทศ,Tomato anemonefish,Amphiprion frenatus  ,Pomacentridae ,อาศัยอยู่ตามลากูน หรือรอบนอกของแนวปะการัง มักอาศัยอยู่กับดอกไม้ทะเลชนิด Entacmaea quadricolor เคยมีร,ลำตัวตัวมีสีดำอมแดงเมื่อโตเต็มวัย ครีบทุกครีบมีสีแดง มีแถบสีขาว 1 แถบพาดขวางบริเวณหลังตา  ขนาดโตเต็มที่ประมาณ 12 เซนติเมตร ในปลาขนาดเล็กจะ มีแถบสีขาวพาดขวางลำตัว 3 แถบ ที่บริเวณหลังตา ตอนกลางของลำตัว และโคนหาง และจะหายไปเมื่อโตขึ้นเหลือเพียงลายเพียงบริเวณหลังตา  ปัจจุบันปลาที่ซื้อขายในตลาดประเทศไทยเป็นปลาที่นำเขาจากประเทศอินโดนเซีย,ภาพ Teresa Zubi ข้อมูล ศูนย์วิจัยและพัฒนาประมงชายฝั่งกระบี่,ปลาทะเล
ปลาการ์ตูนลายปล้อง,Clark's anemonefish,Amphiprion clarkii ,Pomacentridae ,อาศัยอยู่กับดอกไม้ทะเลหลายชนิด บางครั้งเป็นชนิดที่พบตามพื้นทราย พบได้ทั้งอ่าวไทยและอันดามัน,"ลำตัวมีสีดำเข้ม ส่วนหน้าครีบอกและหางมีสีเหลือง มีแถบขาว 3 แถบ ตรงส่วนหัว ลำตัวและโคนหาง มีความผันแปรของสีสูง มีไม่ต่ำกว่า 8 รูปแบบ (ธรณ์ ,2544) จัดเป็นปลาการ์ตูนที่ใหญ่ที่สุดของประเทศไทย ขนาดโตสูงสุดประมาณ 15 เซนติเมตร","รูปภาพ : นภัทร์ โสภณ ,ข้อมูล : ศูนย์วิจัยและพัฒนาประมงชายฝั่งกระบี่",ปลาทะเล
ปลาการ์ตูนลายปล้องหางเหลือง,sebae anemonefish,Amphiprion sebae ,Pomacentridae ,พบเฉพาะฝั่งอันดามันในที่ความลึกตั่งแต่ 2-25 เมตร อาศัยอยู่กับดอกไม้ทะเลที่ฝั่งอยู่ในชนิดที่ฝั่งทราย,ลำตัวมีสีดำ ส่วนหางมีสีเหลือง มีแถบขาว 2 แถบ  แถบแรกพาดอยู่บริเวณหลังตา อีกแถบพาดผ่านท้องขึ้นมายังครีบหลัง เป็นชนิดที่หายาก มักอยู่กันเป็นคู่กับลูกเล็ก ๆ 3-4 ตัว มีนิสัยดุร้ายกับปลาอื่นที่ไม่ใช่สมาชิกในครอบครัว,รูปภาพ: Animal-World ข้อมูล: ศูนย์วิจัยและพัฒนาประมงชายฝั่งกระบี่,ปลาทะเล
ปลาการ์ตูนอานม้า,saddleback anemonefish,Amphiprion polymnus,Pomacentridae,ในน่านน้ำไทยพบได้ทั้งฝั่งอ่าวไทยและทะเลอันดามัน,"ลำตัวมีสีน้ำตาลอมดำ มีแถบขาว 2 แถบ แถบแรกอยู่ที่หลังตา อีกแถบอยู่บริเวณกลางลำตัวเป็นแถบโค้งพาดเฉียงขึ้นไปที่ครีบหลัง ลักษณะคล้ายอานม้า 
",รูป : นภัทร์ โสภณ   ข้อมูล: สถานแสดงพันธุ์สัตว์น้ำระยอง ศูนย์วิจัยและพัฒนาประมงอ่าวไทยฝั่งตะวันออก ,ปลาทะเล
ปลาการ์ตูนอินเดีย,yellow skunk anemonefish,Amphiprion akallopisos ,Pomacentridae ,พบได้บ่อยทางฝั่งอันดามัน ฝั่งอ่าวไทยพบได้ที่เกาะโลซิน,ลำตัวมีสีเนื้ออมเหลืองทองอมชมพู  มีแถบขาวเล็ก  ๆ  พาดผ่านบริเวณหลังตั้งแต่ปลายจมูกจนจรดครีบหาง อาศัยในที่ลึกตั้งแต่ 3 -25 เมตร ขนาดโตที่สุดประมาณ 10 – 11 เซนติเมตร อาศัยอยู่กับดอกไม้ทะเลชนิด Heteractis magnifica และ Stichodactyla mertensii อยู่รวมกันเป็นครอบครัวใหญ่,"รูปภาพ : Adams, M.J. ข้อมูล : ศูนย์วิจัยและพัฒนาประมงชายฝั่งกระบี่",ปลาทะเล
ปลาการ์ตูนแดงดำ,red saddleback anemonefish,Amphiprion ephippium ,Pomacentridae ,อาศัยอยู่ตามแนวปะการังอ่าวไทย และทะเลอันดามัน,ปลาเต็มวัยลำตัวมีสีส้มแดงและมีปื้นสีดำขนาดใหญ่บริเวณหลัง ส่วนในวัยรุ่นจะยังไม่มีปื้นสีดำ ขนาดโตเต็มที่ประมาณ 12 เซนติเมตร  อาศัยตามแนวปะการังชายฝั่งที่เป็นพื้นทราย หรือตามส่วนลาดชันของแนวปะการัง มักอาศัยอยู่กับดอกไม้ทะเลชนิด Entacmaea quadricolor หรือ Heteractis crispa ,ภาพ: นภัทร์ โสภณ ข้อมูล: ศูนย์วิจัยและพัฒนาประมงชายฝั่งกระบี่,ปลาทะเล
ปลาการ์ตูนเพอร์คูล่า,percula anemonefish,Amphiprion percula ,Pomacentridae,คล้ายปลาการ์ตูนส้มขาวแต่ไม่พบในน่านน้ำไทย,ปลาการ์ตูนเพอร์คูลา มีลักษณะคล้ายกับปลาการ์ตูนส้มขาวอย่างมาก ลำตัวสีส้มแต่จะเข้มจัดกว่าปลาการ์ตูนส้มขาว และ มีแถบสีขาวพาดขวางลำตัว 3 แถบ บริเวณ หลังตา กลางลำตัว และคอดหาง สิ่งที่เด่นกว่าปลาการ์ตูนส้มขาวคือระหว่างแถบสีขาวกับสีส้มพื้นตัวจะมีสีดำคั้น แถบเส้นสีดำนจะกว้างกว่า ปัจจุบันมีการปรับปรุงสายพันธ์ให้มีลวดลายแปลกตา และสามารถเพราะพันธ์ได้แล้วทั้งในไทยและต่างประเทศ,"ภาพ: Patzner, Robert A. ข้อมูล: ศูนย์วิจัยและพัฒนาประมงชายฝั่งกระบี่ , หนังสือ 100 ชนิดปลาทะเลสวยงาม",ปลาทะเล
ปลาสินสมุทรบั้ง,Six - banded angelfish,Pomacanthus sexstriatus,Pomacanthidae,อาศัยอยุ่ตามกองหินใต้น้ำเกาะแก่ง แนวปะการังในอ่าวไทย และฝั่งมหาสมุทรอินเดีย ,ลำตัวแบน ครีบหลังทั้งสองตอนติดต่อกันตลอด พื้นผิวลำตัวสีไพลอ่อน บริเวณกลางตัวมีคาดสีดำจำนวน 6 แถบ,รูป : นภัทร์ โสภณ   ข้อมูล: สถานแสดงพันธุ์สัตว์น้ำระยอง ศูนย์วิจัยและพัฒนาประมงอ่าวไทยฝั่งตะวันออก ,ปลาทะเล
ปลาขี้ตังใบเรือ,sailfin tang,zebrasoma veliferum,Acanthuridae,อาศัยอยุ่ตามแนวปะการังฝั่งมหาสมุทรอินเดีย ,ลำตัวแบนมากและค่อนข้างกลม ปากเล็กยื่นไปข้างหน้า ครีบหลังและครีบทวารแผ่ขยายออกใหญ่มากตั้งขึ้นเป็นรูปสามเหลี่ยมมุมมน,รูป : นภัทร์ โสภณ  ข้อมูล: สถานแสดงพันธุ์สัตว์น้ำระยอง ศูนย์วิจัยและพัฒนาประมงอ่าวไทยฝั่งตะวันออก ,ปลาทะเล
ปลาวัวหางสีชมพู,Pinktail triggerfish,"Melichthys vidua (J. Richardson, 1845)",Balistidae,อาศัยอยุ่ตามแนวปะการังที่มีสาหร่ายชุกชุม ตั่งแต่ระดับความลึก 5 - 60 เมตร,ลำตัวเขียวอมน้ำตาล ครีบหลังและครีบทวารสีน้ำตาลเงินขอบดำ ครีบหางช่วงแรกสีขาวและช่วงท้ายสีชมพู,รูป : นภัทร์ โสภณ   ข้อมูล: สถานแสดงพันธุ์สัตว์น้ำระยอง ศูนย์วิจัยและพัฒนาประมงอ่าวไทยฝั่งตะวันออก ,ปลาทะเล
ปลาสลิดหินนีออน,Blue Velvet Damselfish,Neoglyphidodon oxyodon,Pomacentridae,อาศัยอยุ่ตามแนวปะการังฝั่งมหาสมุทรอินเดีย ,พื้นลำตัวสีฟ้าอมม่วง บริเวณหัวมีเส้นสีฟ้าคาดอยู่เหนือตาและใต้ตา ตรงกลางลำตัวมีแถบสีเหลืองคาดอยู่ 1 แถบ,รูป : นภัทร์ โสภณ   ข้อมูล: สถานแสดงพันธุ์สัตว์น้ำระยอง ศูนย์วิจัยและพัฒนาประมงอ่าวไทยฝั่งตะวันออก ,ปลาทะเล
ปลาไหลมอเรย์ปานดำ,Reticulated morey,Gymnothorax tessellata,Muraenidae,อาศัยซ่อนตัวอยู่ตามซอกหินในแนวปะการังทางฝั่งทะเลอันดามัน,ลำตัวเรียวยาวคล้ายงู ไม่มีเกล็ดหุ้มและไม่มีครีบหู พื้นลำตัวสีดำแต้มด้วยลายตาข่ายสีขาวอมเหลืองอ่อน,รูป : นภัทร์ โสภณ   ข้อมูล: สถานแสดงพันธุ์สัตว์น้ำระยอง ศูนย์วิจัยและพัฒนาประมงอ่าวไทยฝั่งตะวันออก ,ปลาทะเล
ปลาวัวปิกาโซ,Lagoon triggerfish,"Rhinecanthus aculeatus (Linnaeus, 1758)",Balistidae,พบได้ในแถบอินโด-แปซิฟิก ในน่านน้ำไทยพบได้ทางฝั่งทะเลอันดามัน,รูปร่างกลมรีคล้ายรูปไข่ ปากมีขนาดเล็กแต่มีฟันแหลมคมส่วนหน้าและจะงอยปากยาว มีลักษณะเฉพาะ คือลวดลายบนลำตัวเป็นแถบสีสดขีดไปมา,รูป : นภัทร์ โสภณ   ข้อมูล: สถานแสดงพันธุ์สัตว์น้ำระยอง ศูนย์วิจัยและพัฒนาประมงอ่าวไทยฝั่งตะวันออก ,ปลาทะเล
ปลาวัวครีบดำ,Black-fined triggerfish,Melichthys ringens,Balistidae,พบตามแนวปะการังทางฝั่งทะเลอันดามัน,ลำตัวแบนทางด้านข้าง แนวสันหลังและแนวทางด้านท้องโค้งเข้าหากันเป็นรูปไข่มุมมน ตาเล็ก ปากเล็ก ครีบหางตัด ลำตัวสีเขียวอมเหลือง,รูป : นภัทร์ โสภณ   ข้อมูล: สถานแสดงพันธุ์สัตว์น้ำระยอง ศูนย์วิจัยและพัฒนาประมงอ่าวไทยฝั่งตะวันออก (,ปลาทะเล
ปลาตะคองเหลือง ทูทอง,Golden Toothless Trevally,"Gnathanodon speciosus (Forssk?l, 1775)",Carangidae,พบกระจายพันธ์ตามชายฝั่งทั่วไปบริเวณอ่าวไทยและอันดามัน,อาศัยรวมกันเป็นฝูง หากินตามแนวชายฝั่งทั่วไป มีลำตัวแบนทางด้านข้าง ขนาดโตเต็มที่ยาวประมาร 70 เซนติเมตร พื้นลำตัวมีสีเหลืองทองคาดด้วยบั้งสีดำตามขวางเป็นแถบใหญ่สลับแถบเล็กจำนวน 9 -10 เส้น ทั่วไป ในปลาวัยอ่อนจะมีลําตัวสีเหลืองเข้มตัดกับบั้งสีดําชัดเจน แต่เมื่อโตขึ้นสีก็จะซีดจางลงไปตามวัย ปลาชนิดนี้กินปลาและสัตว์น้ำที่มีขนาดเล็กกว่าเป็นอาหาร ตัวเต็มวัยมีขนาดใหญ่หลายฟุต และเป็นปลาเศรษฐกิจที่คนนิยมนํามาประกอบอาหารชนิดหนึ่ง แต่นิยมเลี้ยงเป็นปลาสวยงามเพราะมีสีสันสดใส มีการแพร่กระจายอยู่ทั่วไปในเขตอินโดแปซิฟิก,รูป : นภัทร์ โสภณ ข้อมูล: กองวิจัยและพัฒนาประมงทะเล ,ปลาทะเล
ปลาสลิดทะเลเหลืองปากยาว,Long nosed coral rabbit fish,Siganus vulpinus ,Siganidae,อยู่ตามแนวปะการังทางฝั่งทะเลอันดามัน,ปากยื่นยาว ด้านหน้ามีแถบสีดำพาดจากตอนต้นของครีบหลังผ่านตาไปยังจะงอยปากและบริเวณคอ ด้านหลังมีสีเหลืองสดตลอดลำตัว,รูป : นภัทร์ โสภณ   ข้อมูล: สถานแสดงพันธุ์สัตว์น้ำระยอง ศูนย์วิจัยและพัฒนาประมงอ่าวไทยฝั่งตะวันออก,ปลาทะเล
ปลากระเบนจุดฟ้า,Blue-spotted fantail ray,Taeniura lymma ,Dasyatidae,อยู่ตามแนวปะการังและซอกหินใกล้ชายฝั่ง,ลำตัวแบนค่อนข้างกลม ตาโปนโตมีช่องจมูกขนาดใหญ่ ด้านล่างมีปากเว้าโค้ง และมีช่องเหงือก 5 คู่ โคนหางมีเงี่ยงแหลมยาว 2 อัน,รูป : นภัทร์ โสภณ  ข้อมูล: สถานแสดงพันธุ์สัตว์น้ำระยอง ศูนย์วิจัยและพัฒนาประมงอ่าวไทยฝั่งตะวันออก ,ปลาทะเล
ปลาดอกหมาก,Whipfin silver-biddy,Gerres Filamentosus,Gerreidae,พบกระจายพันธ์ตามชายฝั่งทะเลตื้นๆ,รูปร่างลำตัวป้อมดูคล้ายรูปไข่หรือสี่เหลี่ยมขนมเปียกปูนแบนข้าง หัวเล็กสั้น นัยน์ตาโต จะงอยปากแหลม ปากยืดหดได้ เกล็ดเล็กหลุดง่ายมีความแวววาวเงางาม ตัวโตเต็มวัยก้านครีบแข็งอันที่สองของครีบหลังจะเจริญยาวเป็นเส้นเดี่ยว ครีบอกยาว ครีบหางเว้ารูปส้อม สีลำตัวอมเทามีสีดำแต้มเป็นจุดประปรายท้องสีขาวเงิน,รูป : นภัทร์ โสภณ ข้อมูล: สถานแสดงพันธุ์สัตว์น้ำระยอง ศูนย์วิจัยและพัฒนาประมงอ่าวไทยฝั่งตะวันออก ,ปลาทะเล
ปลาหมูสี,Pink ear emperor,Lethrinus lentjan,Lethrinidae,พบได้ทั่วไปทั้งสองชายฝั่งทะเล,ลำตัวค่อนข้างสั้นแบนทางด้านข้าง ปากกว้างผิวปากหนา ส่วนหัวไม่มีเกล็ด และลาดลงมาจากด้านหลัง ครีบหลังตอนหน้ามีหนามจำนวน 10 อัน และครีบหลังตอนท้ายมีหนาม 9 อัน ครีบหางใหญ่ตัดตรงและเว้าตรงกลางเพียงเล็กน้อย พื้นผิวลำตัวสีไพลอมเหลืองอ่อน บนเกล็ดมีจุดขาวอยู่ทุกเกล็ด บริเวณฐานของครีบหูมีสีแดง,รูป : นภัทร์ โสภณ ข้อมูล: สถานแสดงพันธุ์สัตว์น้ำระยอง ศูนย์วิจัยและพัฒนาประมงอ่าวไทยฝั่งตะวันออก,ปลาทะเล
